Indicator,Disaggregation combinations using this value
#1-2-1,3
#15-1-1,1
#16-1-1,1
#16-1-3,1
#16-1-4,3
#16-10-1,1
#16-2-1,3
#16-2-3,12
#16-3-1,1
#16-3-2,3
#16-5-1,12
#16-6-1,1
#16-6-2,3
#16-7-2,12
#16-9-1,3
#17-8-1,3
#2-2-1,3
#2-2-2,3
#2-2-3,1
#3-1-2,1
#3-2-1,3
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-6-1,1
#3-7-1,2
#3-7-2,2
#3-a-1,3
#3-b-1,12
#4-1-1,3
#4-2-1,3
#4-2-2,3
#5-2-1,2
#5-2-2,7
#5-3-1,1
#5-5-1,3
#5-5-2,3
#5-b-1,3
#6-1-1,4
#6-2-1,4
#7-1-1,4
#7-1-2,1
#8-1-1,1
#8-10-2,3
#8-2-1,1
#8-3-1,3
#8-5-1,24
#8-6-1,3
#8-7-1,12
#8-9-1,1
#9-2-1,1
#9-2-2,3
#9-3-1,1
#9-b-1,1
