Year,AREA,Series,Value
2014,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2015,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",1
2016,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",1
2017,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2018,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2019,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2020,West Bank,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2014,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",17
2015,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2016,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2017,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2018,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",2
2019,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2020,Gaza Strip,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2014,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",17
2015,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",1
2016,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",1
2017,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2018,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",2
2019,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
2020,Palestine,"Number of verified cases of killing of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months by Israeli Settlers and Army by AREA and TIME PERIOD",0
